Title,Published_date,Views,Likes,Dislikes,Comments,Month
Smartphone Awards 2021!,12/22/2021,5439768,212689,0,13722,Dec
20 Questions with MrBeast!,12/20/2021,4677221,253214,0,6474,Dec
The Blind Smartphone Camera Test 2021!,12/17/2021,2267199,113941,0,5268,Dec
Oppo Find N Impressions: The Best Folding Phone?!,12/15/2021,3382701,100322,0,5204,Dec
Smartphone Cameras vs Reality!,12/9/2021,2720445,131318,0,5608,Dec
This Smartphone is Built Different...,12/6/2021,3156111,149115,0,7497,Dec
"Why Does This $10,000 Gucci Xbox Exist?",12/2/2021,2176662,106880,0,5191,Dec
What is a Google Phone?!? Reviewing Every Pixel/Nexus Ever!,11/24/2021,4243039,121667,0,7947,Nov
Apple vs Right to Repair: Part 2!,11/17/2021,1775589,89313,0,3752,Nov
Dear YouTube!,11/11/2021,3741059,508585,0,36395,Nov
The Best Camera in Any Phone... With a Catch!,11/10/2021,2965993,109500,0,6753,Nov
M1 Max MacBook Pro Review: Truly Next Level!,11/5/2021,7963595,223779,0,11442,Nov
AirPods 3 Review: Easy Mode!,11/2/2021,4791216,149866,0,5391,Nov
Pixel 6/6 Pro Review: Almost Incredible!,10/27/2021,7939702,242447,0,14910,Oct
The Rivian R1T is an Incredibly Fun Electric Pickup!,10/22/2021,5817803,132530,0,9352,Oct
Surface Duo 2: Can This Be Saved?,10/21/2021,2497929,81524,0,8084,Oct
Pixel 6/6 Pro Unboxing & First Look!,10/19/2021,4563998,187134,0,10129,Oct
NEW M1 Max MacBook Pro Reaction: The Ports are Back!,10/18/2021,5452567,199445,0,13583,Oct
Apple Watch Series 7 Review: Spot the Differences!,10/13/2021,5043279,132910,0,5403,Oct
Reviewing EVERY iPhone Ever!,10/12/2021,16626915,418767,0,20766,Oct
Surface Laptop Studio Impressions: Windows 11 With a Twist!,10/5/2021,3715688,106172,0,3934,Oct
iPhone 13 Pro Review: Better Than You Think!,10/2/2021,9638172,236090,0,12415,Oct
RED V-RAPTOR Impressions: 8K 120fps!,9/29/2021,2438358,95101,0,4191,Sep
iPhone 13 Review: Lowkey Great!,9/28/2021,8773673,229944,0,10822,Sep
iPad Mini 2021 Review: Pocketable Power!,9/22/2021,6051628,169049,0,8775,Sep
iPhone 13 Unboxing & Impressions!,9/21/2021,8939236,276369,0,16008,Sep
3 Features the iPhone 13 Didn't Add!,9/17/2021,3319169,123159,0,8342,Sep
iPhone 13 Event Reaction: Everything New!,9/15/2021,8113915,251820,0,17230,Sep
Real Thoughts on Tech Leaks!,9/13/2021,2298245,98825,0,4844,Sep
Driving 1000 Miles in 3 Cars: Gas vs Electric!,9/9/2021,3914487,147589,0,12724,Sep
Samsung Z Flip 3 Review: The First Big Step!,8/26/2021,5068671,135588,0,7612,Aug
The Tesla Bot: Explained!,8/23/2021,5300006,206034,0,25481,Aug
Samsung Z Fold 3 Review: Let's Talk Ambition!,8/20/2021,4947122,125771,0,6789,Aug
Google Pixel 5A: Spot the Difference!,8/17/2021,3301321,109519,0,5204,Aug
Samsung Galaxy Z Flip 3 Impressions: Design Refresh!,8/11/2021,6603010,174342,0,7306,Aug
Samsung Galaxy Z Fold 3 Impressions: 3 New Features!,8/11/2021,3224818,110299,0,6812,Aug
Pixel 6's Tensor Chip: Let's Talk!,8/2/2021,3906181,168455,0,7735,Aug
The Electric Hummer: Hands-On & Impressions!,7/30/2021,2665641,111523,0,7074,Jul
Nothing Ear(1) Review: Transparent Buds!,7/29/2021,3926765,156251,0,6825,Jul
The iPhone 13 Models!,7/27/2021,4333475,142470,0,9418,Jul
Tesla Model S PLAID Impressions: Re-Inventing the Wheel!,7/23/2021,12363010,297467,0,18534,Jul
How Do YouTubers Make Money? (And Other Questions We Have to Answer),7/16/2021,2727466,139597,0,6451,Jul
iPadOS 15 Review: Dropped Expectations!,7/7/2021,2931943,101673,0,5175,Jul
iOS 15 Hands-On: Top 5 New Features!,7/2/2021,8393698,243706,0,8593,Jul
Sony Xperia 1 III: The Ultimate Enthusiast Phone!,7/1/2021,3280120,124682,0,10652,Jul
Why Everything is an Ultrabook!,6/30/2021,2704928,86169,0,4898,Jun
Windows 11 Reactions: It Runs Android Apps! (Kinda),6/24/2021,5431884,233191,0,15394,Jun
Forgot About Beats by Dre?,6/17/2021,6177279,188513,0,8513,Jun
Top 5 Android 12 Features: Huge Redesign!,6/13/2021,3882328,165729,0,10410,Jun
"Why iPhone's Features are Always ""Late""",6/8/2021,4241033,180354,0,12355,Jun
When Smartphones Copy Each Other!,6/2/2021,1564511,72829,0,3404,Jun
Ford F150 Lightning Impressions: Better Than I Thought!,5/28/2021,8185081,288588,0,29209,May
Talking Tech and AI with Google CEO Sundar Pichai!,5/21/2021,4294087,202371,0,9786,May
iPad Pro M1 Review: The Ultimate Spec Bump!,5/19/2021,7117123,223024,0,13109,May
M1 iMac Review: Ultra Thin Design Choice!,5/18/2021,5954281,199309,0,12812,May
What Is Right To Repair?,5/8/2021,4573020,252220,0,13886,May
Apple vs The Paradox of Choice!,4/30/2021,4533420,181905,0,11961,Apr
OnePlus Watch Review: They Settled!,4/26/2021,3230643,125634,0,7896,Apr
The New Purple iPhone 12!,4/23/2021,3427418,144062,0,7671,Apr
Apple AirTags Unboxing & Demo!,4/22/2021,9419426,281430,0,21479,Apr
Colored iMacs? Let's Talk About Apple's 4/20 Event!,4/21/2021,4910794,183632,0,22044,Apr
Retro Tech: Smart Homes,4/17/2021,1180031,45045,0,2566,Apr
Retro Tech: Hyperconnectivity,4/16/2021,766310,32156,0,2056,Apr
Retro Tech: Robots,4/15/2021,818146,35265,0,1870,Apr
Retro Tech: Teleportation,4/14/2021,1601845,55707,0,2952,Apr
Retro Tech: Wearables,4/13/2021,0,0,0,1260,Apr
Retro Tech: Flying Cars,4/13/2021,2520313,96502,0,5247,Apr
The World's Largest Smartphone Camera!,4/12/2021,3458631,120710,0,7977,Apr
Top 5 Mercedes EQS Features: Electric Luxury!,4/11/2021,6025747,149374,0,14659,Apr
The Ultimate Gaming Phone!,4/8/2021,6563278,225182,0,18424,Apr
Why Did LG Phones Really Die?,4/6/2021,3519097,141144,0,14901,Apr
The Best Mac I've Ever Reviewed!,4/1/2021,2320292,243935,0,18260,Apr
OnePlus 9 Review: Sneaky Value!,3/24/2021,2441046,85318,0,5240,Mar
OnePlus 9 Pro Review: A Huge Hasselblad Promise!,3/23/2021,4643105,145267,0,10730,Mar
Huawei Mate X2 Impressions: I Was Right!,3/19/2021,3068429,124089,0,7571,Mar
Dope Tech: The Fastest Drone AND Car Yet!,3/17/2021,3444287,128533,0,6393,Mar
The Smartphone With a Microscope Camera?!,3/13/2021,3672955,127593,0,7749,Mar
